Case,year,Month,service,departure station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,comment_cancellations,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,comment_delays_at_departure,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,comment_delays_on_arrival,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late
1,2017,9,National,PARIS EST,METZ,85.13377926,299,0,#N/A,15,11.55,0.752006689,#N/A,17,13.79411765,0.419843924,#N/A,0.25,0,0.166666667,0.416666667,0.166666667,0,6,24.03333333,1,0
2,2017,9,National,REIMS,PARIS EST,47.06451613,218,1,#N/A,10,14.65333333,1.263517665,#N/A,23,13.57028986,1.137557604,#N/A,0.25,0.375,0.125,0.125,0.0625,0.0625,9,21.49814815,1,0
3,2017,9,National,PARIS EST,STRASBOURG,116.2349398,333,1,#N/A,20,13.69416667,1.139257028,#N/A,19,21.53245614,1.586395582,#N/A,0.214285714,0.214285714,0.071428571,0.285714286,0.214285714,0,14,24.69404762,3,0
4,2017,9,National,PARIS LYON,AVIGNON TGV,161.0895833,481,1,#N/A,36,20.98842593,1.406215278,#N/A,61,26.56666667,4.788541667,#N/A,0.155172414,0.120689655,0.310344828,0.344827586,0.034482759,0.034482759,40,34.0475,21,5
5,2017,9,National,PARIS LYON,BELLEGARDE (AIN),164.4526316,190,0,#N/A,16,20.96354167,1.728947368,#N/A,38,23.15175439,6.008859649,#N/A,0.166666667,0.25,0.25,0.305555556,0,0.027777778,26,28.40128205,8,1
6,2017,9,National,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.5210526,191,1,#N/A,18,19.96388889,1.83877193,#N/A,18,31.58796296,5.033684211,#N/A,0.111111111,0.111111111,0.222222222,0.5,0,0.055555556,15,35.79666667,8,1
7,2017,9,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.9182692,208,0,#N/A,49,12.51938776,3.816907051,#N/A,38,25.92149123,6.445352564,#N/A,0.058823529,0.352941176,0.382352941,0.176470588,0.029411765,0,31,29.07741935,11,1
8,2017,9,National,PARIS LYON,GRENOBLE,186.3271028,216,2,#N/A,24,20.47013889,2.211682243,#N/A,37,36.62162162,6.579439252,#N/A,0.108108108,0.189189189,0.27027027,0.351351351,0.081081081,0,24,49.6875,13,6
9,2017,9,National,LYON PART DIEU,PARIS LYON,121.2833333,661,1,#N/A,141,13.08392435,3.898055556,#N/A,122,21.38483607,5.353560606,#N/A,0.049019608,0.323529412,0.294117647,0.18627451,0.12745098,0.019607843,70,28.07642857,20,3
10,2017,9,National,PARIS LYON,MACON LOCHE,97.43781095,201,0,#N/A,23,18.11594203,2.141708126,#N/A,26,25.66346154,5.144776119,#N/A,0,0.173913043,0.391304348,0.347826087,0.043478261,0.043478261,16,33.88541667,9,1
11,2017,9,National,PARIS LYON,MARSEILLE ST CHARLES,198.4859813,429,1,#N/A,33,23.13535354,1.635942368,#N/A,64,33.41640625,6.766939252,#N/A,0.238095238,0.111111111,0.26984127,0.301587302,0.047619048,0.031746032,46,41.6057971,25,9
12,2017,9,National,MONTPELLIER,PARIS LYON,205.816568,341,3,#N/A,51,16.81601307,2.965483235,#N/A,67,26.95870647,5.976084813,#N/A,0.209677419,0.419354839,0.241935484,0.064516129,0.016129032,0.048387097,49,32.36836735,15,4
13,2017,9,National,PARIS LYON,MULHOUSE VILLE,166.7587302,316,1,#N/A,39,21.22051282,2.634497355,#N/A,33,29.68787879,4.178518519,#N/A,0.153846154,0.115384615,0.192307692,0.461538462,0.038461538,0.038461538,25,35.35733333,13,1
14,2017,9,National,MULHOUSE VILLE,PARIS LYON,168.7133956,322,1,#N/A,30,9.86,1.743042575,#N/A,24,19.74791667,2.324818276,#N/A,0.1,0.2,0.4,0.2,0.05,0.05,10,31.30166667,2,1
15,2017,9,National,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.885,403,3,#N/A,22,17.39772727,0.94125,#N/A,66,22.36338384,4.780833333,#N/A,0.157894737,0.350877193,0.280701754,0.122807018,0.035087719,0.052631579,28,38.63452381,13,4
16,2017,9,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.0643623,842,3,#N/A,135,14.16950617,2.748192292,#N/A,136,22.62401961,4.999185538,#N/A,0.115702479,0.388429752,0.231404959,0.198347107,0.041322314,0.024793388,76,30.62807018,21,4
17,2017,9,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,170.5204082,199,3,#N/A,1,29,0.265306122,#N/A,32,19.3765625,4.917346939,#N/A,0.275862069,0.310344828,0.24137931,0.172413793,0,0,16,26.57083333,4,1
18,2017,9,National,PARIS MONTPARNASSE,POITIERS,94.11157895,479,4,#N/A,35,13.05761905,0.911473684,#N/A,49,22.33197279,3.703508772,"Ce mois-ci, cette OD a été touchée par:
Le 17 : Incident caténaire au nord de Bordeaux  (37 TGV ; 382’)
Le 19 : Avarie Matérielle à St Pierre des Corps (15 TGV ; 384’)
Le 20 : Colis suspect à Paris Montparnasse  (17 TGV ; 208’)
Le 25 : Dérangement d’installation Télecom entre Paris et Massy (40 TGV ; 803’)
Le 27 : Rail cassé à Courtalain (100 TGV ; 4112’)
Le 28 : défaillance matérielle en sortie de Paris Montparnasse (22 TGV ; 395’)",0.153846154,0.384615385,0.102564103,0.307692308,0.025641026,0.025641026,25,35.48,9,4
19,2017,9,National,POITIERS,PARIS MONTPARNASSE,93.69318182,442,2,#N/A,72,12.75810185,2.680454545,#N/A,90,16.90222222,4.594204545,#N/A,0.202898551,0.376811594,0.231884058,0.144927536,0.028985507,0.014492754,37,26.4036036,8,1
20,2017,9,National,PARIS MONTPARNASSE,RENNES,98.53288364,597,4,#N/A,49,17.49285714,1.553091625,#N/A,100,20.88,4.344013491,#N/A,0.202531646,0.278481013,0.215189873,0.265822785,0.025316456,0.012658228,40,37.675,14,5
21,2017,9,National,VANNES,PARIS MONTPARNASSE,156.027027,259,0,#N/A,21,16.04761905,2.154440154,#N/A,49,23.53911565,6.741184041,#N/A,0.15,0.425,0.25,0.125,0,0.05,29,31.4408046,7,3
22,2017,9,National,LILLE,MARSEILLE ST CHARLES,300.2827586,146,1,#N/A,16,14.63020833,1.947011494,#N/A,45,25.66814815,10.39505747,"Nombreux colis suspects RYT (03-05-06-07-09-11-12-1726-29) RYT
Nombreux colis suspects MVC (07-10-21-27-29) MVC
Causes espacement zone SE, avec des trains inter secteurs qui ne dépassent pas les 60% de régularité pour le mois (9866: 16,7%; 9882 : 60%; 9860: 50% et 9828: 46,7%)--On peut ajouter les 5180 et 5186 qui ne dépassent pas les63% de régularité.",0.243243243,0.324324324,0.162162162,0.189189189,0,0.081081081,45,25.66814815,12,1
23,2017,9,International,PARIS EST,FRANCFORT,128.124183,153,0,#N/A,25,14.55533333,2.607407407,#N/A,17,27.18235294,3.04248366,#N/A,0.090909091,0.363636364,0.181818182,0.181818182,0.181818182,0,14,30.07857143,6,0
24,2017,9,International,PARIS LYON,LAUSANNE,219.9509524,141,1,#N/A,13,22.34102564,2.002738095,#N/A,21,32.51507937,6.288095238,#N/A,0.095238095,0.19047619,0.285714286,0.380952381,0,0.047619048,19,34.9377193,6,2
25,2017,1,National,ANGERS SAINT LAUD,PARIS MONTPARNASSE,96.61777778,467,17,#N/A,35,15.55809524,1.984185185,#N/A,37,27.89189189,3.489074074,#N/A,0.294117647,0.294117647,0.147058824,0.117647059,0,0.147058824,27,33.75123457,13,3
26,2017,1,National,DOUAI,PARIS NORD,79.475,205,5,#N/A,9,13.13518519,1.09625,#N/A,45,14.51592593,3.571666667,#N/A,0.258064516,0.193548387,0.387096774,0.096774194,0.064516129,0,13,30.14871795,5,1
27,2017,1,National,LYON PART DIEU,LILLE,186.7755102,299,5,#N/A,148,17.4161036,9.615079365,#N/A,92,30.18369565,10.93066893,#N/A,0.225,0.2125,0.225,0.2125,0.0875,0.0375,73,34.81232877,22,7
